recall_target,high_threshold,high_tier_size,high_sensitivity,high_ppv
0.3,0.003736,2625,0.3003,0.044952
0.4,0.002692,4182,0.402,0.037781
0.5,0.00185,7481,0.5013,0.026333
0.6,0.001379,13560,0.6005,0.017404
0.75,0.001059,37924,0.7379,0.007647
